province,AI & Analytics,Backend Development,Frontend Development,Others,System Admin
北京,758,760, 607,674,637
上海,775,744, 630,739,506
广东,787,752, 739,691,661
浙江,702,653, 735,554,626
天津,321,389, 234,318,189
重庆,227,209, 252,363,357
河北,315,315, 374,138,133
山西,310,140, 237,286,184
辽宁,274,226, 135,353,339
吉林,271,307, 142,234,162
黑龙江,273,187, 325,139,308
江苏,359,303, 268,277,397
安徽,172,284, 391,281,173
福建,310,165, 343,252,273
江西,306,228, 124,135,343
山东,423,490, 326,375,205
河南,475,262, 338,175,507
湖北,210,299, 232,221,377
湖南,243,412, 205,284,413
海南,164,244, 303,139,183
四川,180,373, 141,262,478
贵州,111,212, 198,274,208
云南,84,140, 112,273,108
陕西,379,357, 182,396,171
甘肃,295,130, 197,148,282
青海,244,111, 108,257,131
台湾,146,349, 128,270,164
内蒙古,306,170, 136,224,223
广西,298,261, 225,192,290
西藏,262,228,176,112,92
宁夏,258,130,188,233,307
新疆,306,218, 297,199,213
