province,AI & Analytics,Backend Development,Frontend Development,Others,System Admin
Hebei,131,93,50,62,152
Gansu,124,188,59,55,60
Sichuan,99,120,108,112,155
Shandong,153,179,69,106,197
Heilongjiang,140,184,159,84,186
Hunan,163,134,140,70,51
Guangxi,121,93,152,144,58
Henan,114,194,94,159,111
Fujian,109,142,99,199,116
Ningxia,168,77,136,131,158
Hubei,139,101,164,98,93
Hainan,165,182,63,97,69
Jiangsu,79,125,80,199,182
Yunnan,152,116,159,158,187
Macau,140,196,175,170,124
Hong Kong,76,100,111,184,119
Anhui,122,63,109,128,90
Chongqing,61,183,93,183,75
Guangdong,168,184,158,189,78
Inner Mongolia,68,115,73,192,74
Shaanxi,145,76,122,142,102
Liaoning,122,156,75,161,113
Jilin,163,141,110,55,68
Tibet,170,53,89,188,175
Guizhou,175,94,130,86,84
Shanghai,167,143,94,87,165
Jiangxi,183,70,66,69,59
Shanxi,60,87,169,55,144
Xinjiang,166,68,127,190,196
Qinghai,94,67,77,89,57
Taiwan,63,167,162,199,104
Beijing,102,114,200,177,139
Tianjin,126,174,57,98,51
Zhejiang,197,169,67,89,164
